Audrey Hepburn	occupation	model		
Audrey Hepburn	occupation	film actor		
Audrey Hepburn	occupation	stage actor		
Audrey Hepburn	occupation	philanthropist		
Audrey Hepburn	occupation	dancer		
Audrey Hepburn	occupation	model		
Audrey Hepburn	occupation	actor		
Audrey Hepburn	signature	http://commons.wikimedia.org/wiki/Special:FilePath/Audrey%20Hepburn%20signature.svg		
Audrey Hepburn	place of burial	Tolochenaz		
Audrey Hepburn	award received	David di Donatello for Best Foreign Actress	point in time	1960-01-01T00:00:00Z
Audrey Hepburn	award received	David di Donatello for Best Foreign Actress	for work	The Nun's Story
Audrey Hepburn	award received	Golden Globe Cecil B. DeMille Award	point in time	1989-01-01T00:00:00Z
Audrey Hepburn	award received	Jean Hersholt Humanitarian Award	point in time	1993-01-01T00:00:00Z
Audrey Hepburn	award received	David di Donatello for Best Foreign Actress	point in time	1962-01-01T00:00:00Z
Audrey Hepburn	award received	David di Donatello for Best Foreign Actress	for work	Breakfast at Tiffany's
Audrey Hepburn	award received	Special Tony Award	point in time	1968-01-01T00:00:00Z
Audrey Hepburn	award received	Golden Globe Award for Best Actress – Motion Picture Drama	point in time	1953-01-01T00:00:00Z
Audrey Hepburn	award received	Golden Globe Award for Best Actress – Motion Picture Drama	for work	Roman Holiday
Audrey Hepburn	award received	Grammy Award for Best Spoken Word Album for Children	point in time	1993-01-01T00:00:00Z
Audrey Hepburn	award received	Grammy Award for Best Spoken Word Album for Children	winner	Deborah Raffin
Audrey Hepburn	award received	Grammy Award for Best Spoken Word Album for Children	winner	Michael Viner
Audrey Hepburn	award received	Grammy Award for Best Spoken Word Album for Children	for work	Audrey Hepburn's Enchanted Tales
Audrey Hepburn	award received	Screen Actors Guild Life Achievement Award	point in time	1992-01-01T00:00:00Z
Audrey Hepburn	award received	Tony Award for Best Actress in a Play	point in time	1954-01-01T00:00:00Z
Audrey Hepburn	award received	Tony Award for Best Actress in a Play	statement is subject of	8th Tony Awards
Audrey Hepburn	award received	Tony Award for Best Actress in a Play	for work	Ondine, ou La naïade
Audrey Hepburn	award received	Grammy Award for Best Spoken Word Album for Children	point in time	1993-01-01T00:00:00Z
Audrey Hepburn	award received	Grammy Award for Best Spoken Word Album for Children	winner	Deborah Raffin
Audrey Hepburn	award received	Grammy Award for Best Spoken Word Album for Children	for work	Audrey Hepburn's Enchanted Tales
Audrey Hepburn	award received	David di Donatello for Best Foreign Actress	point in time	1965-01-01T00:00:00Z
Audrey Hepburn	award received	David di Donatello for Best Foreign Actress	for work	My Fair Lady
Audrey Hepburn	award received	Crystal Award	point in time	1996-01-01T00:00:00Z
Audrey Hepburn	award received	Theatre World Award	point in time	1952-01-01T00:00:00Z
Audrey Hepburn	award received	Presidential Medal of Freedom	point in time	1992-01-01T00:00:00Z
Audrey Hepburn	award received	Grammy Award		
Audrey Hepburn	award received	Commandeur des Arts et des Lettres‎		
Audrey Hepburn	award received	Emmy Award		
Audrey Hepburn	award received	New York Film Critics Circle Award for Best Actress	point in time	1959-01-01T00:00:00Z
Audrey Hepburn	award received	New York Film Critics Circle Award for Best Actress	for work	The Nun's Story
Audrey Hepburn	award received	Academy Award for Best Actress	point in time	1953-01-01T00:00:00Z
